frame_id,source_index,source_label,total_people,queue_pairs,queue_detected,roi_Check-in,roi_Immigration,roi_Security Lane
295,0,File: 2025-11-27 18-27-45.mp4,18,5,True,2,3,7
296,0,File: 2025-11-27 18-27-45.mp4,18,5,True,2,3,7
297,0,File: 2025-11-27 18-27-45.mp4,18,6,True,2,4,6
298,0,File: 2025-11-27 18-27-45.mp4,19,6,True,2,4,7
299,0,File: 2025-11-27 18-27-45.mp4,19,7,True,2,4,7
300,0,File: 2025-11-27 18-27-45.mp4,20,8,True,2,4,8
301,0,File: 2025-11-27 18-27-45.mp4,20,8,True,2,4,8
302,0,File: 2025-11-27 18-27-45.mp4,20,9,True,2,4,8
303,0,File: 2025-11-27 18-27-45.mp4,21,10,True,2,4,9
304,0,File: 2025-11-27 18-27-45.mp4,20,8,True,2,4,8
305,0,File: 2025-11-27 18-27-45.mp4,20,7,True,2,4,8
306,0,File: 2025-11-27 18-27-45.mp4,20,6,True,2,4,7
307,0,File: 2025-11-27 18-27-45.mp4,20,6,True,2,4,7
308,0,File: 2025-11-27 18-27-45.mp4,21,6,True,2,4,7
309,0,File: 2025-11-27 18-27-45.mp4,21,8,True,2,4,8
310,0,File: 2025-11-27 18-27-45.mp4,21,9,True,2,4,8
311,0,File: 2025-11-27 18-27-45.mp4,20,7,True,2,4,7
312,0,File: 2025-11-27 18-27-45.mp4,21,13,True,2,4,8
313,0,File: 2025-11-27 18-27-45.mp4,22,11,True,2,4,9
314,0,File: 2025-11-27 18-27-45.mp4,21,10,True,2,4,8
315,0,File: 2025-11-27 18-27-45.mp4,21,9,True,2,4,7
316,0,File: 2025-11-27 18-27-45.mp4,21,9,True,2,4,7
317,0,File: 2025-11-27 18-27-45.mp4,20,7,True,2,4,7
318,0,File: 2025-11-27 18-27-45.mp4,21,8,True,2,4,8
319,0,File: 2025-11-27 18-27-45.mp4,21,8,True,2,4,8
320,0,File: 2025-11-27 18-27-45.mp4,20,6,True,2,4,7
321,0,File: 2025-11-27 18-27-45.mp4,20,6,True,2,4,7
322,0,File: 2025-11-27 18-27-45.mp4,21,6,True,2,4,7
323,0,File: 2025-11-27 18-27-45.mp4,21,5,True,2,4,7
324,0,File: 2025-11-27 18-27-45.mp4,21,4,False,2,4,7
325,0,File: 2025-11-27 18-27-45.mp4,22,5,True,2,4,8
326,0,File: 2025-11-27 18-27-45.mp4,22,4,False,2,4,8
327,0,File: 2025-11-27 18-27-45.mp4,23,8,True,2,4,9
328,0,File: 2025-11-27 18-27-45.mp4,24,10,True,2,4,10
329,0,File: 2025-11-27 18-27-45.mp4,22,5,True,2,3,9
330,0,File: 2025-11-27 18-27-45.mp4,22,6,True,2,3,9
331,0,File: 2025-11-27 18-27-45.mp4,22,6,True,2,3,9
332,0,File: 2025-11-27 18-27-45.mp4,20,6,True,2,3,7
